State,Year,Category,Value
Selangor,2017,Protection of wildlife & habitats,343
Selangor,2018,Protection of wildlife & habitats,null
Selangor,2019,Protection of wildlife & habitats,null
Selangor,2020,Protection of wildlife & habitats,18
Selangor,2021,Protection of wildlife & habitats,23
Terengganu,2017,Protection of wildlife & habitats,1823
Terengganu,2018,Protection of wildlife & habitats,562
Terengganu,2019,Protection of wildlife & habitats,30
Terengganu,2020,Protection of wildlife & habitats,52
Terengganu,2021,Protection of wildlife & habitats,55
W.P. Kuala Lumpur,2017,Protection of wildlife & habitats,366
W.P. Kuala Lumpur,2018,Protection of wildlife & habitats,676
W.P. Kuala Lumpur,2019,Protection of wildlife & habitats,2206
W.P. Kuala Lumpur,2020,Protection of wildlife & habitats,1945
W.P. Kuala Lumpur,2021,Protection of wildlife & habitats,1999
W.P. Labuan,2017,Protection of wildlife & habitats,null
W.P. Labuan,2018,Protection of wildlife & habitats,null
W.P. Labuan,2019,Protection of wildlife & habitats,null
W.P. Labuan,2020,Protection of wildlife & habitats,null
W.P. Labuan,2021,Protection of wildlife & habitats,null
W.P. Putrajaya,2017,Protection of wildlife & habitats,71
W.P. Putrajaya,2018,Protection of wildlife & habitats,null
W.P. Putrajaya,2019,Protection of wildlife & habitats,null
W.P. Putrajaya,2020,Protection of wildlife & habitats,null
W.P. Putrajaya,2021,Protection of wildlife & habitats,null
Johor,2017,Environmental assessment and charges,13051
Johor,2018,Environmental assessment and charges,7720
Johor,2019,Environmental assessment and charges,6979
Johor,2020,Environmental assessment and charges,7862
Johor,2021,Environmental assessment and charges,9754
Kedah,2017,Environmental assessment and charges,1343
Kedah,2018,Environmental assessment and charges,1174
Kedah,2019,Environmental assessment and charges,1402
Kedah,2020,Environmental assessment and charges,857
Kedah,2021,Environmental assessment and charges,1567
Kelantan,2017,Environmental assessment and charges,1620
Kelantan,2018,Environmental assessment and charges,489
Kelantan,2019,Environmental assessment and charges,505
Kelantan,2020,Environmental assessment and charges,1711
Kelantan,2021,Environmental assessment and charges,1234
